parental_rnai,parental_treatment,treatment,replicate,day,offsprings
ev,pdark,dark,7,1,20
ev,plight,dark,7,1,18
raga,plight,light,7,4,17
ev,pdark,light,7,1,16
ev,pdark,light,7,4,15
ev,pdark,dark,7,3,14
raga,pdark,dark,7,3,12
raga,pdark,light,7,1,11
raga,pdark,dark,6,3,NA
raga,pdark,dark,6,4,NA
raga,pdark,dark,6,5,NA
raga,pdark,dark,6,6,NA
raga,pdark,dark,6,1,NA
ev,pdark,dark,6,6,NA
ev,pdark,light,6,6,NA
raga,pdark,dark,6,6,NA
raga,pdark,light,6,6,NA
ev,plight,dark,6,6,NA
ev,plight,light,6,6,NA
raga,plight,dark,6,6,NA
raga,plight,light,6,6,NA
ev,pdark,dark,6,2,149
ev,plight,dark,6,2,147
ev,pdark,dark,6,2,145
ev,plight,dark,6,2,126
raga,pdark,dark,6,2,119
raga,plight,dark,6,3,115
ev,plight,light,6,2,105
ev,pdark,light,6,3,104
raga,pdark,dark,6,3,102
raga,plight,dark,6,2,102
ev,pdark,light,6,2,101
raga,pdark,light,6,2,100
raga,plight,dark,6,2,98
ev,plight,light,6,3,98
raga,pdark,light,6,3,97
ev,pdark,dark,6,3,96
raga,plight,light,6,3,88
raga,plight,dark,6,3,87
raga,plight,light,6,2,86
raga,pdark,light,6,2,85
raga,plight,light,6,2,75
raga,pdark,light,6,3,74
ev,plight,light,6,3,69
raga,plight,light,6,3,68
ev,plight,dark,6,3,66
ev,pdark,light,6,2,64
raga,pdark,dark,6,2,64
ev,plight,dark,6,3,56
ev,pdark,light,6,3,54
ev,plight,light,6,2,31
ev,plight,light,6,4,29
ev,plight,dark,6,1,27
ev,pdark,dark,6,1,26
ev,pdark,light,6,1,19
raga,pdark,dark,6,1,19
ev,pdark,dark,6,1,16
raga,plight,dark,6,4,14
ev,plight,light,6,1,14
raga,pdark,light,6,4,13
ev,plight,dark,6,1,11
ev,pdark,dark,5,1,NA
ev,pdark,dark,5,2,NA
ev,pdark,dark,5,3,NA
ev,pdark,dark,5,4,NA
ev,pdark,dark,5,5,NA
ev,pdark,dark,5,6,NA
raga,pdark,light,5,6,NA
ev,pdark,dark,5,6,NA
ev,pdark,light,5,6,NA
raga,pdark,dark,5,6,NA
raga,pdark,light,5,6,NA
ev,plight,dark,5,4,NA
ev,plight,dark,5,5,NA
ev,plight,dark,5,6,NA
raga,plight,light,5,4,NA
raga,plight,light,5,5,NA
raga,plight,light,5,6,NA
ev,plight,dark,5,6,NA
ev,plight,light,5,6,NA
raga,plight,dark,5,6,NA
raga,plight,light,5,6,NA
raga,pdark,dark,5,2,146
raga,plight,dark,5,3,146
ev,plight,dark,5,2,135
ev,pdark,dark,5,2,125
raga,pdark,dark,5,2,122
ev,pdark,light,5,2,116
raga,pdark,light,5,2,112
raga,pdark,dark,5,3,103
raga,plight,light,5,2,99
raga,plight,dark,5,3,94
raga,pdark,light,5,4,93
raga,plight,light,5,3,92
ev,pdark,light,5,2,91
ev,plight,light,5,3,85
raga,pdark,light,5,3,84
ev,plight,light,5,2,83
raga,plight,light,5,3,80
ev,plight,dark,5,2,80
raga,pdark,dark,5,3,77
raga,plight,dark,5,2,73
ev,pdark,light,5,3,72
ev,plight,light,5,2,72
ev,plight,light,5,3,70
ev,pdark,dark,5,3,69
raga,pdark,light,5,3,69
raga,plight,dark,5,2,55
ev,plight,dark,5,3,55
raga,plight,light,5,2,50
ev,plight,dark,5,3,48
raga,pdark,dark,5,4,26
ev,pdark,light,5,3,26
ev,plight,dark,5,4,25
raga,pdark,light,5,2,19
raga,plight,dark,5,4,16
raga,pdark,dark,5,5,14
raga,pdark,dark,5,4,13
raga,pdark,dark,5,1,11
ev,pdark,dark,5,1,10
ev,pdark,light,5,1,10
ev,plight,dark,5,5,10
raga,pdark,dark,4,4,NA
raga,pdark,dark,4,5,NA
ev,pdark,dark,4,6,NA
ev,pdark,light,4,6,NA
raga,pdark,dark,4,6,NA
raga,pdark,light,4,6,NA
ev,plight,dark,4,1,NA
ev,plight,dark,4,2,NA
ev,plight,dark,4,3,NA
ev,plight,dark,4,4,NA
ev,plight,dark,4,5,NA
ev,plight,dark,4,6,NA
ev,plight,dark,4,6,NA
ev,plight,light,4,6,NA
raga,plight,dark,4,6,NA
raga,plight,light,4,6,NA
raga,pdark,dark,4,2,186
raga,plight,dark,4,2,157
raga,pdark,dark,4,3,155
ev,plight,dark,4,2,146
raga,pdark,light,4,3,130
ev,pdark,dark,4,3,125
raga,pdark,light,4,2,121
ev,pdark,dark,4,2,118
ev,pdark,dark,4,2,113
ev,plight,light,4,2,107
ev,plight,light,4,3,95
raga,plight,light,4,3,92
raga,plight,light,4,2,90
ev,pdark,light,4,2,87
raga,pdark,light,4,3,84
ev,pdark,light,4,3,84
ev,pdark,light,4,2,83
ev,plight,dark,4,3,77
ev,pdark,light,4,3,76
raga,plight,light,4,3,70
raga,pdark,dark,4,2,67
ev,plight,light,4,3,65
raga,pdark,light,4,2,54
raga,plight,dark,4,2,47
raga,plight,dark,4,3,40
ev,plight,dark,4,1,32
ev,pdark,dark,4,3,31
raga,pdark,dark,4,1,25
raga,plight,light,4,2,25
raga,plight,dark,4,3,24
raga,plight,light,4,4,24
raga,pdark,dark,4,3,21
ev,pdark,light,4,4,21
raga,pdark,light,4,4,20
ev,plight,light,4,2,20
raga,pdark,light,4,1,17
ev,plight,light,4,4,15
ev,pdark,light,4,5,13
ev,plight,light,4,1,11
ev,pdark,dark,3,6,NA
ev,pdark,light,3,6,NA
raga,pdark,dark,3,6,NA
raga,pdark,light,3,6,NA
ev,plight,light,3,1,NA
ev,plight,light,3,2,NA
ev,plight,light,3,3,NA
ev,plight,light,3,4,NA
ev,plight,light,3,5,NA
ev,plight,light,3,6,NA
ev,plight,dark,3,4,NA
ev,plight,dark,3,5,NA
ev,plight,dark,3,6,NA
ev,plight,light,3,6,NA
raga,plight,dark,3,6,NA
raga,plight,light,3,6,NA
raga,pdark,dark,3,2,159
raga,plight,dark,3,2,157
raga,pdark,dark,3,3,154
ev,pdark,light,3,2,151
ev,pdark,dark,3,2,144
raga,plight,dark,3,3,126
raga,plight,light,3,2,125
ev,plight,dark,3,2,115
ev,plight,dark,3,2,111
ev,plight,dark,3,3,110
ev,plight,light,3,2,108
ev,plight,dark,3,3,108
raga,pdark,light,3,2,104
ev,pdark,dark,3,2,103
raga,pdark,light,3,3,103
ev,pdark,light,3,2,101
raga,plight,dark,3,2,101
raga,pdark,light,3,2,98
ev,pdark,dark,3,3,83
raga,pdark,light,3,3,81
raga,plight,light,3,2,78
ev,pdark,light,3,3,75
raga,plight,light,3,3,74
ev,pdark,light,3,3,68
raga,pdark,dark,3,2,67
raga,plight,light,3,3,64
ev,plight,light,3,3,62
raga,pdark,dark,3,3,58
raga,pdark,light,3,1,47
raga,plight,dark,3,3,43
ev,pdark,dark,3,3,29
raga,pdark,dark,3,1,29
ev,pdark,light,3,1,25
raga,plight,dark,3,1,23
raga,plight,light,3,1,23
raga,pdark,dark,3,4,19
ev,pdark,light,3,1,17
raga,pdark,light,3,4,14
ev,plight,dark,3,4,14
ev,pdark,dark,2,6,NA
ev,pdark,light,2,6,NA
raga,pdark,dark,2,6,NA
raga,pdark,light,2,6,NA
raga,plight,light,2,1,NA
raga,plight,light,2,2,NA
raga,plight,light,2,3,NA
raga,plight,light,2,4,NA
raga,plight,light,2,5,NA
raga,plight,light,2,6,NA
ev,plight,dark,2,6,NA
ev,plight,light,2,6,NA
raga,plight,dark,2,6,NA
raga,plight,light,2,6,NA
raga,pdark,dark,2,2,145
raga,pdark,dark,2,2,143
ev,pdark,light,2,2,142
ev,pdark,dark,2,2,134
ev,plight,dark,2,2,132
raga,plight,dark,2,2,130
raga,pdark,light,2,2,128
raga,plight,dark,2,2,124
raga,plight,light,2,3,112
raga,pdark,dark,2,3,111
ev,pdark,light,2,2,108
ev,pdark,light,2,3,107
ev,plight,dark,2,2,99
ev,plight,light,2,3,96
raga,plight,dark,2,3,95
raga,pdark,light,2,3,94
raga,plight,light,2,2,90
raga,plight,dark,2,3,89
ev,plight,dark,2,3,86
raga,pdark,light,2,3,82
ev,plight,light,2,3,76
raga,pdark,dark,2,3,75
ev,plight,light,2,2,72
ev,pdark,light,2,3,70
ev,plight,light,2,2,58
raga,pdark,light,2,2,35
raga,pdark,light,2,4,35
ev,pdark,dark,2,3,32
ev,plight,dark,2,3,28
ev,pdark,dark,2,6,27
ev,pdark,dark,2,4,26
raga,plight,dark,2,1,23
raga,pdark,light,2,1,22
ev,pdark,light,2,1,16
ev,pdark,dark,2,5,15
ev,plight,light,2,4,14
ev,plight,light,2,4,12
ev,pdark,dark,1,6,NA
ev,pdark,light,1,6,NA
raga,pdark,dark,1,6,NA
raga,pdark,light,1,6,NA
ev,plight,dark,1,1,NA
ev,plight,dark,1,2,NA
ev,plight,dark,1,3,NA
ev,plight,dark,1,4,NA
ev,plight,dark,1,5,NA
ev,plight,dark,1,6,NA
ev,plight,dark,1,6,NA
ev,plight,light,1,6,NA
raga,plight,dark,1,6,NA
raga,plight,light,1,6,NA
raga,pdark,light,1,2,164
ev,pdark,dark,1,2,162
raga,pdark,dark,1,2,157
raga,pdark,dark,1,2,142
ev,pdark,dark,1,2,138
ev,plight,dark,1,2,115
raga,plight,dark,1,2,115
raga,pdark,dark,1,3,112
raga,pdark,light,1,3,107
raga,plight,dark,1,2,103
raga,plight,dark,1,3,99
ev,pdark,light,1,3,96
ev,pdark,light,1,2,93
raga,plight,light,1,3,87
ev,plight,light,1,2,85
ev,plight,dark,1,3,81
raga,plight,light,1,2,75
raga,plight,light,1,3,74
ev,plight,light,1,3,72
raga,plight,dark,1,3,70
ev,plight,light,1,3,65
ev,pdark,light,1,2,64
raga,pdark,light,1,2,57
ev,pdark,light,1,3,56
raga,pdark,light,1,3,54
raga,pdark,dark,1,3,48
raga,plight,light,1,4,47
ev,pdark,dark,1,1,39
ev,pdark,dark,1,3,38
raga,plight,light,1,2,35
ev,plight,light,1,4,29
ev,pdark,light,1,4,20
raga,pdark,dark,1,1,18
raga,pdark,light,1,4,17
ev,plight,light,1,2,17
ev,pdark,dark,1,4,13
raga,plight,dark,1,1,12
ev,plight,dark,1,1,11
